ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass 
4800,Private Sector,49,Female,Associate Degree,Married,0,1.24,IHG,42,No,19,No,Medical Tourism,16826.62118,Silver
4801,Public Sector,,Female,High School Equivalent,Divorced,,3.01,IHG,,Yes,0,Yes,Leisure Travel,0,Silver
4802,Business,31,Female,Professional,Married,,2.73,IHG,8,No,14,Yes,Business,16550.42721,Silver
4803,Self-Employed,37,Female,High School Equivalent,Married,3,2.11,Discovery,38,Yes,0,No,Business,0,Gold
4804,Business,,,Masters Degree,Married,1,2.75,None,27,Yes,0,No,Business,0,Silver
4805,Business,,Female,Professional,Married,,2.55,Marriott,17,Yes,0,No,Leisure Travel,346.7326856,Silver
4806,Private Sector,,Female,Associate Degree,Single,,3.12,IHG,1,No,15,No,Business,0,Silver
4807,Business,19,,High School Equivalent,Single,0,2.7,None,42,Yes,0,Yes,Business,0,Bronze
4808,Private Sector,,Female,High School Equivalent,Divorced,1,2.69,Marriott,26,No,2,Yes,Leisure Travel,4921.63063,Silver
4809,Private Sector,,,Bachelors Degree,Widowed,1,2.99,Expedia,34,No,5,No,Leisure Travel,5918.868795,Silver
4810,Private Sector,,,High School Equivalent,Married,0,2.85,IHG,1,Yes,0,No,Medical Tourism,7166.961304,Bronze
4811,Public Sector,22,Female,MBA,Divorced,3,1.53,IHG,29,No,16,No,Leisure Travel,0,Bronze
4812,Private Sector,,,High School Equivalent,Divorced,,2.97,None,39,Yes,0,Yes,Medical Tourism,0,Silver
4813,Private Sector,,,High School Equivalent,Married,,3.26,Marriott,43,No,19,No,Leisure Travel,430.4447551,Silver
4814,Public Sector,56,Male,Associate Degree,Married,1,2.93,Expedia,41,No,12,No,Business,0,Bronze
4815,Business,40,Male,High School Equivalent,Married,,3.17,IHG,39,No,1,Yes,Medical Tourism,0,Bronze
4816,Private Sector,,Male,High School Equivalent,Married,,2.81,Marriott,1,Yes,0,No,Business,37.78187347,Silver
4817,Business,,Female,High School Equivalent,Single,0,2.7,Marriott,46,No,4,Yes,Leisure Travel,13479.98107,Silver
4818,Private Sector,60,Female,High School Equivalent,Single,0,3.05,Discovery,46,No,15,Yes,Medical Tourism,6896.002661,Silver
4819,Business,19,Female,Bachelors Degree,Married,,3.72,Marriott,48,Yes,0,No,Medical Tourism,0,Bronze
4820,Business,,Male,Masters Degree,Married,1,2.73,Discovery,47,Yes,0,Yes,Business,62.5042646,Silver
4821,Public Sector,32,Male,MBA,Married,0,2.46,IHG,,Yes,0,No,Leisure Travel,0,Silver
4822,Private Sector,27,Male,Associate Degree,Married,,3.22,IHG,2,No,15,No,Leisure Travel,0,Silver
4823,Public Sector,,Male,MBA,Single,,2.81,Expedia,18,No,5,Yes,Medical Tourism,0,Bronze
4824,Private Sector,58,Female,MBA,Divorced,,2.81,None,45,No,15,Yes,Business,0,Bronze
4825,Business,58,Female,Bachelors Degree,Married,3,2.2,None,7,No,20,Yes,Leisure Travel,0,Bronze
4826,Business,46,Male,High School Equivalent,Married,,2.52,IHG,22,Yes,0,No,Leisure Travel,841.090923,Silver
4827,Private Sector,,,High School Equivalent,Married,2,3.55,IHG,22,No,12,Yes,Medical Tourism,16947.05229,Silver
4828,Business,,,High School Equivalent,Married,1,3.81,Expedia,39,No,18,No,Business,0,Silver
4829,Public Sector,53,,Masters Degree,Single,0,3.45,None,47,No,1,No,Medical Tourism,395.7064755,Bronze
4830,Public Sector,25,Female,Bachelors Degree,Married,1,2.64,None,31,No,3,Yes,Leisure Travel,412.1543295,Bronze
4831,Private Sector,40,Male,High School Equivalent,Single,,2.78,Marriott,5,No,4,No,Medical Tourism,0,Silver
4832,Public Sector,41,Female,Bachelors Degree,Married,2,2.28,Marriott,37,No,9,Yes,Leisure Travel,0,Bronze
4833,Business,,Female,MBA,Married,,2.96,IHG,46,Yes,0,No,Business,0,Silver
4834,Public Sector,,Female,MBA,Divorced,,2.74,None,13,No,5,No,Business,239.6804152,Silver
4835,Private Sector,,Male,Bachelors Degree,Single,,2.92,Marriott,49,No,9,No,Business,0,Bronze
4836,Business,,,High School Equivalent,Single,,2.68,None,36,Yes,0,Yes,Business,0,Silver
4837,Self-Employed,46,Female,High School Equivalent,Single,,2.56,None,44,Yes,0,No,Leisure Travel,27.48936414,Silver
4838,Business,36,Female,High School Equivalent,Married,0,3.24,IHG,11,No,18,No,Medical Tourism,12.61975819,Silver
4839,Public Sector,20,Female,MBA,Single,0,3.45,IHG,4,No,11,Yes,Medical Tourism,0,Bronze
4840,Private Sector,,Male,Associate Degree,Married,,2.47,Expedia,26,Yes,0,Yes,Business,0.018911548,Silver
4841,Private Sector,,Male,MBA,Divorced,,4,Marriott,44,No,20,No,Medical Tourism,0,Silver
4842,Self-Employed,59,,Associate Degree,Married,0,2.83,None,38,No,9,Yes,Business,12.76196542,Bronze
4843,Public Sector,,Male,Associate Degree,Single,,2.69,None,4,No,13,Yes,Medical Tourism,16796.35455,Bronze
4844,Business,,,MBA,Married,1,3.48,None,40,No,8,No,Leisure Travel,0.016620957,Bronze
4845,Public Sector,51,Female,MBA,Divorced,3,2.8,Marriott,21,No,5,No,Business,5.436065125,Silver
4846,Business,48,,High School Equivalent,Divorced,0,3.19,Marriott,43,Yes,0,No,Medical Tourism,0,Silver
4847,Public Sector,58,Female,Bachelors Degree,Married,,2.67,IHG,6,No,20,Yes,Leisure Travel,0,Silver
4848,Public Sector,34,Female,High School Equivalent,Married,,2.85,IHG,48,No,1,No,Leisure Travel,1211.681803,Bronze
4849,Private Sector,,Female,High School Equivalent,Married,1,3.41,None,45,No,6,No,Business,111.711365,Silver
4850,Business,36,,Masters Degree,Single,0,2.45,Marriott,27,No,16,Yes,Business,0,Silver
4851,Business,44,Female,High School Equivalent,Single,,3.23,IHG,26,Yes,0,No,Business,28450.48264,Bronze
4852,Public Sector,33,Female,Bachelors Degree,Widowed,1,2.82,Marriott,5,No,6,No,Leisure Travel,0,Bronze
4853,Public Sector,,Male,High School Equivalent,Single,0,2.3,Discovery,31,Yes,0,No,Leisure Travel,12471.33392,Bronze
4854,Private Sector,53,,MBA,Single,,3.1,Expedia,6,No,11,Yes,Business,15150.05558,Gold
4855,Public Sector,,Female,MBA,Divorced,1,2.88,None,47,No,5,No,Business,0,Bronze
4856,Business,28,Female,Associate Degree,Married,,2.42,Marriott,30,No,12,Yes,Medical Tourism,8302.585858,Silver
4857,Private Sector,,Female,Professional,Widowed,0,2.42,Discovery,12,No,17,No,Medical Tourism,0,Gold
4858,Business,,Male,High School Equivalent,Married,,2.87,IHG,37,No,1,Yes,Medical Tourism,0,Silver
4859,Private Sector,,,High School Equivalent,Divorced,,2.32,IHG,16,No,9,Yes,Business,0,Silver
4860,Business,54,Female,MBA,Single,0,3.48,IHG,10,No,9,No,Business,3640.636673,Silver
4861,Private Sector,,Female,MBA,Married,0,2.44,Marriott,35,No,9,No,Business,1097.216004,Bronze
4862,Private Sector,56,Female,Bachelors Degree,Widowed,,2.69,IHG,42,No,4,Yes,Medical Tourism,46.33650477,Bronze
4863,Business,,Male,Bachelors Degree,Single,,2.43,IHG,4,No,8,Yes,Leisure Travel,0,Bronze
4864,Public Sector,,Female,Professional,Divorced,1,3.02,Marriott,42,No,13,Yes,Business,0,Bronze
4865,Private Sector,,Male,Technical/Occupational Certificate,Widowed,0,3.55,Expedia,25,Yes,0,No,Business,0,Bronze
4866,Private Sector,30,Female,High School Equivalent,Widowed,1,2.59,None,,Yes,0,Yes,Business,3316.462542,Silver
4867,Self-Employed,,Female,Associate Degree,Divorced,1,3.54,IHG,23,No,7,No,Business,0,Bronze
4868,Private Sector,45,Female,High School Equivalent,Single,,3.13,Marriott,1,No,17,No,Leisure Travel,28642.13408,Silver
4869,Public Sector,24,Female,High School Equivalent,Divorced,,3.84,IHG,29,No,13,Yes,Medical Tourism,6564.456344,Bronze
4870,,39,Female,MBA,Single,,2.52,IHG,3,Yes,0,No,Medical Tourism,59.90654048,Bronze
4871,Private Sector,,,High School Equivalent,Divorced,,2.71,IHG,22,Yes,0,Yes,Medical Tourism,10652.31575,Silver
4872,Business,24,,High School Equivalent,Widowed,,3.28,Discovery,29,No,9,Yes,Medical Tourism,90.82086477,Bronze
4873,Private Sector,18,,High School Equivalent,Married,,3.65,Marriott,24,No,7,No,Leisure Travel,0,Silver
4874,Business,60,Male,MBA,Single,,2.11,IHG,36,No,7,Yes,Medical Tourism,13640.06904,Silver
4875,Public Sector,22,Female,Professional,Married,,3.13,Marriott,37,No,19,No,Business,0.015109693,Gold
4876,Business,32,Female,Professional,Divorced,1,2.75,Expedia,10,No,11,No,Leisure Travel,0.023561805,Bronze
4877,Public Sector,,,High School Equivalent,Married,1,4,IHG,24,No,5,No,Business,0,Bronze
4878,Private Sector,,Female,High School Equivalent,Married,1,2.46,Discovery,25,Yes,0,No,Medical Tourism,0,Silver
4879,Private Sector,,Female,MBA,Single,,2.7,None,47,No,18,Yes,Leisure Travel,0,Silver
4880,Private Sector,46,Male,MBA,Divorced,1,3.59,Marriott,22,No,9,Yes,Medical Tourism,0,Silver
4881,Business,36,Male,Doctorate,Single,0,3.43,None,21,No,1,No,Medical Tourism,679.5695617,Silver
4882,Public Sector,56,Female,High School Equivalent,Married,1,2.26,Hilton,13,Yes,0,Yes,Medical Tourism,34.73364941,Bronze
4883,Private Sector,,Male,Masters Degree,Divorced,,3.54,Marriott,41,No,20,Yes,Medical Tourism,0,Silver
4884,Public Sector,,,MBA,Divorced,2,2.34,IHG,33,No,5,No,Business,0,Bronze
4885,Private Sector,25,,MBA,Married,,3.16,Discovery,42,No,1,Yes,Medical Tourism,0,Silver
4886,Business,,,Bachelors Degree,Married,,3.26,Marriott,19,No,17,Yes,Business,0,Silver
4887,Private Sector,,Male,Bachelors Degree,Single,,3.02,Jumeirah,28,Yes,0,No,Business,962.0757211,Bronze
4888,Private Sector,,,High School Equivalent,Widowed,,3.27,Jumeirah,25,Yes,0,Yes,Leisure Travel,9.614655916,Silver
4889,Private Sector,,Female,High School Equivalent,Divorced,1,3.14,Expedia,33,No,20,Yes,Business,0,Silver
4890,Private Sector,19,Female,High School Equivalent,Single,0,2.55,None,8,No,5,Yes,Business,0,Silver
4891,Business,46,Female,MBA,Divorced,1,2.42,None,14,Yes,0,Yes,Leisure Travel,452.0917162,Bronze
4892,Business,23,Female,MBA,Single,,2.69,IHG,34,No,16,No,Business,0,Bronze
4893,Business,19,Male,High School Equivalent,Single,,2.31,IHG,34,No,8,Yes,Leisure Travel,0,Bronze
4894,Private Sector,,,High School Equivalent,Married,,3.46,Discovery,10,Yes,0,No,Business,0,Silver
4895,Private Sector,31,Male,MBA,Single,0,3.3,Discovery,38,No,5,No,Leisure Travel,9175.643715,Silver
4896,Private Sector,,Female,Professional,Divorced,3,2.71,IHG,23,No,4,Yes,Business,0.331163909,Silver
4897,Private Sector,43,Female,High School Equivalent,Married,2,2.96,IHG,4,Yes,0,No,Business,5.605756441,Silver
4898,Business,31,Female,Associate Degree,Divorced,1,3.05,Expedia,4,Yes,0,Yes,Medical Tourism,2321.8528,Silver
4899,Public Sector,,Female,MBA,Single,,2.74,Marriott,0,No,17,No,Leisure Travel,1330.787556,Gold
4900,Private Sector,,Female,High School Equivalent,Divorced,1,3.33,IHG,4,No,4,Yes,Business,0,Silver
4901,Private Sector,18,Male,Technical/Occupational Certificate,Single,,2.91,Expedia,31,Yes,0,No,Leisure Travel,76.23738179,Silver
4902,Private Sector,20,Female,Technical/Occupational Certificate,Divorced,3,2.44,Expedia,18,No,12,No,Business,0,Bronze
4903,Private Sector,,Male,MBA,Divorced,,2.58,IHG,19,No,12,No,Leisure Travel,0,Silver
4904,Private Sector,,Female,High School Equivalent,Married,,2.07,Expedia,4,No,6,No,Medical Tourism,0,Silver
4905,Private Sector,,,Bachelors Degree,Divorced,,3.72,Expedia,18,No,9,Yes,Business,0,Bronze
4906,Private Sector,,,MBA,Divorced,0,3.18,Discovery,,Yes,0,No,Leisure Travel,502.2988136,Silver
4907,Private Sector,,Female,Masters Degree,Divorced,0,2.81,IHG,13,No,15,No,Medical Tourism,0,Bronze
4908,Business,37,Female,Masters Degree,Divorced,1,2.11,Jumeirah,11,No,12,Yes,Leisure Travel,50.25039836,Gold
4909,Business,32,Male,Bachelors Degree,Married,,2.82,Marriott,20,Yes,0,No,Business,23136.66188,Silver
4910,Business,,,High School Equivalent,Married,3,2.19,Discovery,8,No,16,Yes,Business,0,Silver
4911,Private Sector,23,Male,Associate Degree,Divorced,1,4,IHG,6,No,8,No,Leisure Travel,115.0598214,Bronze
4912,Private Sector,45,,Associate Degree,Divorced,0,3.06,Marriott,40,No,15,No,Medical Tourism,74.24028815,Silver
4913,Private Sector,,Male,Masters Degree,Married,1,2.57,Hilton,43,No,18,No,Business,7985.941705,Silver
4914,Business,39,,High School Equivalent,Married,1,2.75,Marriott,10,No,12,Yes,Medical Tourism,0.108410498,Silver
4915,Business,48,Female,Bachelors Degree,Married,,2.8,IHG,4,No,12,No,Business,25277.4858,Silver
4916,Self-Employed,31,,High School Equivalent,Married,,4,None,6,No,4,No,Business,5769.032936,Bronze
4917,Public Sector,24,Male,High School Equivalent,Divorced,0,3.1,Marriott,14,No,1,No,Leisure Travel,5555.378113,Silver
4918,Business,51,Female,MBA,Divorced,1,2.81,IHG,38,No,19,No,Leisure Travel,1.490181984,Bronze
4919,Private Sector,60,Male,Associate Degree,Widowed,1,2.95,Jumeirah,17,No,5,Yes,Business,0.269948912,Bronze
4920,Private Sector,,Female,High School Equivalent,Married,1,3.03,Hilton,42,No,10,No,Business,2.55719953,Silver
4921,Business,,Male,MBA,Widowed,1,2.67,Marriott,4,No,20,Yes,Leisure Travel,0,Silver
4922,Public Sector,,Female,Associate Degree,Married,,2.57,Expedia,36,Yes,0,Yes,Leisure Travel,2306.389641,Bronze
4923,Public Sector,53,,Technical/Occupational Certificate,Divorced,,2.93,Jumeirah,20,No,4,No,Business,0,Bronze
4924,Self-Employed,,Female,High School Equivalent,Divorced,0,2.4,Jumeirah,40,Yes,0,Yes,Leisure Travel,2.205078785,Gold
4925,Private Sector,,Female,Associate Degree,Single,,2.41,IHG,23,No,4,Yes,Business,0,Bronze
4926,Self-Employed,41,Male,Bachelors Degree,Divorced,,2.92,IHG,25,No,12,Yes,Medical Tourism,0,Silver
4927,Private Sector,,,High School Equivalent,Married,,2.64,Discovery,27,Yes,0,No,Medical Tourism,0,Silver
4928,Private Sector,59,Male,High School Equivalent,Single,,2.1,Marriott,8,Yes,0,Yes,Business,0,Bronze
4929,Business,,,High School Equivalent,Widowed,,2.88,None,32,Yes,0,No,Business,531.5922927,Gold
4930,Public Sector,,Female,MBA,Single,,3.81,IHG,,Yes,0,Yes,Leisure Travel,551.3584349,Silver
4931,Business,,Male,High School Equivalent,Married,,2.78,IHG,27,No,5,Yes,Medical Tourism,9.896161885,Silver
4932,Private Sector,,Male,Masters Degree,Widowed,1,2.46,Discovery,45,No,3,No,Business,134.0134553,Silver
4933,Private Sector,54,,Bachelors Degree,Married,1,2.25,IHG,25,No,17,No,Medical Tourism,0.522429584,Silver
4934,,,Male,High School Equivalent,Married,1,3.33,IHG,23,Yes,0,Yes,Medical Tourism,1510.939467,Silver
4935,Private Sector,,Female,High School Equivalent,Single,,3.32,IHG,43,Yes,0,Yes,Leisure Travel,0,Bronze
4936,Private Sector,,Female,Bachelors Degree,Married,1,3.31,Marriott,30,Yes,0,Yes,Leisure Travel,1474.504184,Silver
4937,Self-Employed,48,,MBA,Single,0,2.38,Marriott,32,Yes,0,No,Leisure Travel,0,Silver
4938,Business,,,Professional,Single,0,3.18,IHG,31,No,9,Yes,Business,2557.814369,Silver
4939,Public Sector,,Female,MBA,Single,,3.11,Discovery,19,No,8,No,Business,8017.622535,Silver
4940,,,Female,High School Equivalent,Married,,2.33,Marriott,35,No,4,Yes,Business,94.51477326,Silver
4941,Business,,Female,Bachelors Degree,Single,,1.88,IHG,20,Yes,0,Yes,Medical Tourism,0,Bronze
4942,Business,,Female,Bachelors Degree,Single,0,3.6,Hilton,7,No,11,No,Leisure Travel,17195.96453,Bronze
4943,Public Sector,,Female,Bachelors Degree,Divorced,,3.09,None,32,No,10,No,Medical Tourism,0,Bronze
4944,Private Sector,,,Bachelors Degree,Married,,3.11,Marriott,31,No,14,No,Leisure Travel,320.3476637,Silver
4945,Private Sector,,Female,High School Equivalent,Widowed,1,4,Hilton,12,No,18,Yes,Business,0,Bronze
4946,Business,28,Female,MBA,Divorced,1,2.94,None,38,Yes,0,No,Business,3841.68508,Bronze
4947,Business,37,Female,High School Equivalent,Married,1,3.27,IHG,24,No,6,Yes,Business,0,Silver
4948,Business,,Male,High School Equivalent,Married,1,3.32,Marriott,24,Yes,0,No,Leisure Travel,0,Bronze
4949,Self-Employed,25,Female,Associate Degree,Married,,2.4,IHG,19,Yes,0,No,Business,2428.28157,Bronze
4950,Private Sector,29,Male,High School Equivalent,Married,,2.03,IHG,23,No,14,Yes,Leisure Travel,4202.240937,Bronze
4951,Private Sector,32,Male,Bachelors Degree,Divorced,1,3.22,Marriott,,No,12,Yes,Business,575.6031929,Silver
4952,Public Sector,47,Male,High School Equivalent,Single,,2.41,IHG,17,No,1,Yes,Medical Tourism,0,Bronze
4953,Private Sector,25,Female,High School Equivalent,Single,,3.16,Jumeirah,13,No,2,Yes,Business,0,Silver
4954,Private Sector,51,Female,MBA,Single,0,2.24,Marriott,7,No,7,No,Medical Tourism,0,Silver
4955,Business,30,Female,High School Equivalent,Married,,2.19,Discovery,9,No,2,Yes,Business,397.1607857,Silver
4956,Business,41,Female,MBA,Single,,3.86,Discovery,16,Yes,0,No,Leisure Travel,0,Silver
4957,Private Sector,50,Female,MBA,Single,,2.64,IHG,43,No,18,No,Leisure Travel,10973.5733,Bronze
4958,Public Sector,,Male,High School Equivalent,Married,,3.03,Marriott,43,No,9,Yes,Business,0,Silver
4959,,43,Male,Associate Degree,Married,,3,IHG,22,No,2,No,Business,10.54683995,Bronze
4960,Public Sector,53,Male,MBA,Single,,3,Expedia,,Yes,0,Yes,Leisure Travel,14334.86564,Bronze
4961,Public Sector,,,MBA,Single,0,3.33,IHG,18,No,13,No,Medical Tourism,37.23260794,Bronze
4962,Private Sector,,Male,High School Equivalent,Married,,2.86,Marriott,37,No,9,No,Leisure Travel,0,Silver
4963,Public Sector,33,Female,High School Equivalent,Single,,2.69,Jumeirah,8,No,19,No,Leisure Travel,0,Bronze
4964,Private Sector,47,Male,Doctorate,Single,0,3.43,IHG,43,Yes,0,No,Business,0,Silver
4965,Private Sector,30,,Associate Degree,Divorced,0,3.01,Hilton,,No,5,No,Medical Tourism,7087.692681,Silver
4966,Private Sector,,Female,Associate Degree,Divorced,0,2.49,Discovery,12,No,3,No,Medical Tourism,7964.201262,Silver
4967,Public Sector,,Female,High School Equivalent,Married,,3.01,Jumeirah,40,No,4,No,Leisure Travel,49642.43671,Silver
4968,Public Sector,50,Female,MBA,Single,0,2.54,IHG,,No,11,Yes,Business,0.01777793,Silver
4969,Private Sector,29,Female,Bachelors Degree,Divorced,,2.07,IHG,23,Yes,0,Yes,Leisure Travel,5.03647E-10,Silver
4970,Private Sector,26,Male,Bachelors Degree,Divorced,,3.18,None,46,Yes,0,No,Business,0,Silver
4971,Private Sector,,Male,Bachelors Degree,Married,,2.46,IHG,47,No,9,No,Medical Tourism,0,Gold
4972,Private Sector,49,,High School Equivalent,Single,0,3.46,None,1,No,19,No,Leisure Travel,0,Bronze
4973,Business,43,Male,MBA,Married,1,3.52,Marriott,23,No,16,No,Business,0.493235499,Silver
4974,Self-Employed,41,Female,High School Equivalent,Married,0,3.35,Marriott,13,Yes,0,Yes,Business,0,Silver
4975,Private Sector,26,Male,Associate Degree,Married,3,1.83,Marriott,17,No,16,No,Business,0,Bronze
4976,Private Sector,,Female,MBA,Single,,3.7,Hilton,0,No,15,No,Business,6976.927221,Silver
4977,Self-Employed,,Female,Associate Degree,Divorced,,3.35,Jumeirah,40,No,17,Yes,Business,10507.26113,Bronze
4978,Self-Employed,,Male,High School Equivalent,Divorced,,3,IHG,8,No,17,Yes,Business,0,Gold
4979,Self-Employed,46,Male,High School Equivalent,Married,0,2.84,None,18,No,3,Yes,Business,1620.45553,Bronze
4980,Business,19,,High School Equivalent,Married,,2.81,Marriott,39,Yes,0,Yes,Business,0,Silver
4981,Business,28,Male,Associate Degree,Widowed,,2.46,Discovery,,Yes,0,No,Medical Tourism,2.252194846,Silver
4982,Private Sector,,Female,High School Equivalent,Divorced,1,3.42,Expedia,7,Yes,0,Yes,Medical Tourism,0,Silver
4983,Business,20,,High School Equivalent,Married,,3.33,IHG,8,Yes,0,No,Leisure Travel,0,Silver
4984,Private Sector,29,Female,High School Equivalent,Single,,2.06,Expedia,2,No,17,No,Business,0,Silver
4985,Private Sector,28,Female,MBA,Married,0,2.46,IHG,14,No,14,Yes,Leisure Travel,676.8099123,Silver
4986,Private Sector,23,Female,Associate Degree,Divorced,,3.56,Discovery,,No,10,No,Leisure Travel,201.7598685,Silver
4987,Private Sector,21,Male,MBA,Widowed,1,3.36,IHG,2,No,2,No,Leisure Travel,8701.393379,Silver
4988,Private Sector,52,Female,Professional,Single,0,2.44,Expedia,44,No,10,Yes,Business,0,Silver
4989,Private Sector,27,Male,Masters Degree,Married,,2.61,Jumeirah,29,No,17,No,Leisure Travel,0,Silver
4990,Private Sector,,,Associate Degree,Married,0,2.54,IHG,16,Yes,0,Yes,Business,0,Silver
4991,Business,,Female,High School Equivalent,Divorced,3,4,IHG,30,No,4,Yes,Business,13.18047081,Bronze
4992,Private Sector,,Male,Professional,Married,,3.52,Marriott,5,Yes,0,No,Medical Tourism,2.64773E-05,Silver
4993,Business,48,,Associate Degree,Widowed,,2.49,IHG,18,No,8,Yes,Leisure Travel,4404.284608,Bronze
4994,Public Sector,32,,MBA,Single,0,2.24,None,35,Yes,0,Yes,Business,1052.433116,Bronze
4995,Private Sector,26,Male,High School Equivalent,Divorced,1,2.33,IHG,28,No,1,Yes,Medical Tourism,22351.80027,Silver
4996,Private Sector,42,,Associate Degree,Married,1,2.97,Marriott,45,No,9,No,Leisure Travel,0,Silver
4997,Private Sector,38,Female,MBA,Married,,2.81,None,17,Yes,0,Yes,Medical Tourism,0,Bronze
4998,Public Sector,21,Female,Bachelors Degree,Widowed,,2.5,None,46,No,12,Yes,Medical Tourism,1550.040517,Gold
4999,Private Sector,42,Male,Associate Degree,Single,,3.1,Discovery,12,No,1,No,Business,10195.06874,Bronze
5000,Private Sector,26,Male,MBA,Married,,3.18,None,41,Yes,0,No,Leisure Travel,0,Silver
5001,Private Sector,51,Female,High School Equivalent,Married,0,2.86,IHG,19,No,4,No,Leisure Travel,3208.036532,Bronze
5002,Private Sector,55,Female,High School Equivalent,Widowed,,2.97,IHG,21,No,6,Yes,Business,7302.036711,Bronze
5003,Business,26,Female,High School Equivalent,Married,0,2.53,IHG,5,No,5,Yes,Business,0,Silver
5004,Business,43,,MBA,Single,0,2.75,IHG,27,No,18,No,Medical Tourism,7969.012038,Bronze
5005,Private Sector,,Male,Associate Degree,Married,0,2.99,Discovery,,No,11,No,Medical Tourism,5869.867573,Silver
5006,Private Sector,53,Male,Bachelors Degree,Widowed,3,2.72,IHG,32,No,16,Yes,Medical Tourism,0,Silver
5007,Private Sector,,Female,High School Equivalent,Married,1,1.69,Expedia,4,No,11,Yes,Business,24.87863452,Silver
5008,Private Sector,52,Male,Associate Degree,Divorced,,3.25,Expedia,49,Yes,0,No,Medical Tourism,0,Silver
5009,Private Sector,39,,Bachelors Degree,Single,0,2.73,Marriott,47,No,5,Yes,Leisure Travel,0,Silver
5010,Self-Employed,46,Male,Doctorate,Married,3,2.23,IHG,26,No,10,No,Leisure Travel,0,Bronze
5011,Business,,Male,High School Equivalent,Single,0,2.79,Discovery,21,No,2,Yes,Medical Tourism,0,Bronze
5012,Business,,Female,High School Equivalent,Married,,2.67,None,20,Yes,0,Yes,Business,0,Bronze
5013,Self-Employed,20,Female,MBA,Divorced,3,2.92,Discovery,10,Yes,0,Yes,Business,21.80692986,Silver
5014,Business,42,Female,High School Equivalent,Married,1,3.57,Marriott,36,No,7,No,Medical Tourism,0,Silver
5015,Private Sector,,Male,High School Equivalent,Divorced,,2.07,IHG,24,Yes,0,No,Medical Tourism,1541.262679,Silver
5016,,50,Female,High School Equivalent,Married,,2.72,Jumeirah,,Yes,0,No,Leisure Travel,0,Bronze
5017,Public Sector,36,Female,Associate Degree,Married,4,2.85,Marriott,16,No,6,Yes,Leisure Travel,0,Gold
5018,Private Sector,,Female,MBA,Married,0,2.76,IHG,24,No,13,No,Leisure Travel,0,Silver
5019,Private Sector,56,Female,High School Equivalent,Single,0,4,Marriott,,No,7,No,Leisure Travel,667.7943934,Silver
5020,Business,,Female,High School Equivalent,Single,,3.14,IHG,41,No,12,Yes,Medical Tourism,0,Silver
5021,Public Sector,,Female,High School Equivalent,Divorced,,2.93,None,35,No,15,Yes,Business,0,Bronze
5022,Self-Employed,,Female,MBA,Single,0,2.39,Marriott,,Yes,0,No,Medical Tourism,0,Silver
5023,Private Sector,41,,Associate Degree,Single,0,3.23,IHG,44,No,2,Yes,Medical Tourism,0,Gold
5024,Business,43,,High School Equivalent,Married,,2.18,None,44,No,1,Yes,Leisure Travel,0,Bronze
5025,Public Sector,32,Female,Bachelors Degree,Married,1,2.61,Expedia,15,No,6,Yes,Business,12.35060743,Bronze
5026,Private Sector,,,High School Equivalent,Single,,3.77,IHG,15,Yes,0,Yes,Leisure Travel,2.99653E-08,Silver
5027,Private Sector,35,Female,Professional,Widowed,,2.58,Marriott,27,No,11,No,Leisure Travel,0.027318212,Silver
5028,Business,57,,Associate Degree,Single,0,3.1,IHG,11,No,7,No,Business,9693.90018,Bronze
5029,Private Sector,,Male,Masters Degree,Single,,1.48,None,43,No,19,Yes,Business,1960.677806,Bronze
5030,Private Sector,44,Female,Associate Degree,Single,,3.21,Marriott,8,No,20,No,Medical Tourism,1869.964041,Silver
5031,,23,Female,MBA,Single,0,2.63,Marriott,10,No,15,Yes,Medical Tourism,75.99787114,Bronze
5032,Self-Employed,,Male,Associate Degree,Divorced,,2.79,Hilton,25,No,18,No,Business,115.6933613,Silver
5033,Private Sector,48,Female,High School Equivalent,Divorced,1,3.27,Hilton,49,No,20,No,Business,2505.736731,Bronze
5034,Business,42,Female,MBA,Single,,2.34,IHG,27,No,6,Yes,Business,5483.18498,Silver
5035,Self-Employed,49,Male,High School Equivalent,Married,1,3.17,Marriott,20,No,3,Yes,Leisure Travel,14.47224413,Silver
5036,Private Sector,30,Male,Bachelors Degree,Divorced,1,2.61,IHG,11,Yes,0,Yes,Leisure Travel,0,Silver
5037,Business,53,,MBA,Married,,2.66,Marriott,48,No,11,Yes,Leisure Travel,201.2922153,Silver
5038,Business,,Female,High School Equivalent,Married,,2.37,Marriott,8,No,8,Yes,Leisure Travel,132.4002629,Silver
5039,Public Sector,,,Bachelors Degree,Divorced,,2.56,Hilton,,No,8,Yes,Medical Tourism,0.002523435,Silver
5040,Private Sector,42,Female,High School Equivalent,Married,0,3.18,IHG,17,No,12,Yes,Medical Tourism,3536.231613,Bronze
5041,Business,,Male,Bachelors Degree,Single,,3.26,IHG,40,No,1,Yes,Leisure Travel,0.329109313,Gold
5042,Business,59,Male,Bachelors Degree,Married,,3.5,Discovery,24,Yes,0,Yes,Leisure Travel,2899.657376,Bronze
5043,Private Sector,,Female,MBA,Married,,1.9,Marriott,39,Yes,0,Yes,Business,0,Silver
5044,Private Sector,,Female,Masters Degree,Married,1,2.39,None,18,No,15,No,Business,51.92875804,Silver
